#{"t_start": 1777060135.0421252, "env_id": "None"}
r,l,t
-18.0,27,5.660709
-23.0,62,5.809684
-9.0,63,5.948555
-8.0,105,6.19481
6.0,22,6.246602
-26.0,33,6.321687
-23.0,154,6.671773
-18.0,23,6.719582
-21.0,50,6.84866
-16.0,15,6.882245
-1.0,114,7.149112
9.0,105,7.402171
-3.0,54,7.513829
-21.0,20,7.570944
-15.0,98,7.805743
-8.0,33,7.883025
-19.0,164,8.27431
-7.0,20,8.322273
-27.0,68,8.482687
-23.0,86,8.675753
-19.0,190,9.131456
-17.0,22,9.180827
-22.0,29,9.24405
-11.0,74,9.42132
-25.0,34,9.501857
-24.0,47,9.614446
-17.0,40,9.729184
-18.0,161,10.112377
12.0,48,10.230429
-16.0,59,10.36964
-22.0,39,19.324994
-8.0,97,19.641594
-18.0,21,19.693174
-17.0,42,19.801419
-26.0,45,19.903074
-2.0,91,20.134174
-18.0,47,20.253373
-8.0,35,20.33964
-20.0,71,20.511542
-9.0,38,20.603293
-22.0,71,20.793117
-23.0,30,20.870418
-9.0,21,20.913524
-7.0,94,21.146101
17.0,47,21.263174
-7.0,104,21.508178
-20.0,23,21.559449
-16.0,109,21.832095
-4.0,99,22.05059
-22.0,37,22.144047
9.0,53,22.258482
-25.0,52,22.386666
-21.0,72,22.55237
-17.0,44,22.657521
-17.0,118,22.954129
-18.0,33,23.033628
-9.0,158,23.401116
-15.0,94,23.625264
4.0,22,23.672525
-17.0,112,23.948211
-18.0,55,24.114985
-19.0,34,24.238457
-24.0,141,33.379514
-15.0,156,33.734638
7.0,39,33.829039
5.0,183,34.289933
-20.0,47,34.401275
-14.0,63,34.550265
-19.0,224,35.048579
-6.0,73,35.225526
-16.0,101,35.449423
-13.0,32,35.537502
-22.0,153,35.884839
-20.0,81,36.066093
-3.0,22,36.113513
-19.0,94,36.336908
5.0,43,36.433485
-8.0,53,36.575054
-15.0,248,37.209654
11.0,17,37.239136
-22.0,107,37.520207
2.0,22,37.576128
-19.0,18,37.619234
4.0,22,37.652914
-10.0,65,37.812109
-14.0,85,38.012499
-16.0,113,47.461026
-23.0,30,47.549634
-25.0,52,47.68015
-20.0,103,47.930509
-20.0,39,48.030221
-8.0,125,48.337592
-17.0,52,48.465445
-17.0,96,48.691398
-2.0,79,48.894807
-11.0,92,49.097665
-25.0,102,49.336779
-22.0,41,49.433476
-27.0,38,49.520156
-3.0,18,49.562514
-23.0,54,49.690844
15.0,45,49.789498
-18.0,75,49.96445
9.0,41,50.063987
-15.0,84,50.255745
-18.0,33,50.332513
3.0,28,50.385726
-21.0,40,50.479777
-7.0,70,50.656838
-15.0,58,50.785015
-25.0,34,50.864392
-11.0,50,50.981625
-23.0,84,51.160701
-10.0,49,51.272846
-11.0,56,51.401024
10.0,62,51.546589
-3.0,28,51.611878
-15.0,136,51.928956
-20.0,35,52.012196
14.0,28,52.081129
-20.0,53,61.213771
3.0,141,61.551867
-10.0,103,61.811717
-16.0,59,61.955709
-19.0,76,62.128019
-20.0,29,62.197299
4.0,48,62.312541
-22.0,27,62.377296
-10.0,69,62.542662
-18.0,87,62.742388
-30.0,31,62.822346
-8.0,27,62.881886
20.0,79,63.081788
13.0,107,63.332155
4.0,218,63.85183
-15.0,18,63.894148
8.0,44,64.002248
8.0,62,64.151914
-20.0,113,64.422211
-20.0,49,64.592852
4.0,6,64.616296
-6.0,69,64.787143
-6.0,119,65.079495
-10.0,117,65.352231
