#{"t_start": 1777072647.9985492, "env_id": "None"}
r,l,t
-1.0,28,15.146536
-1.0,46,15.500939
-1.0,44,15.866874
0.0,46,16.211475
0.0,44,16.501263
0.0,28,16.711063
-1.0,127,17.704864
-1.0,71,18.390115
-1.0,48,18.848576
-1.0,75,19.576806
-1.0,75,20.290152
-1.0,77,20.915732
-1.0,41,21.247802
-1.0,31,21.510566
-1.0,50,21.807702
-1.0,34,22.081814
-1.0,110,22.897728
-1.0,49,23.242833
-1.0,80,23.76396
-1.0,39,23.96613
-1.0,62,24.405032
-1.0,63,24.694952
-1.0,47,24.998148
-1.0,102,25.759858
-1.0,103,26.563902
-1.0,19,26.76405
-1.0,132,27.867717
-1.0,60,28.354488
-1.0,46,28.740414
-1.0,96,29.516449
-1.0,94,30.358265
-1.0,177,45.147989
-1.0,74,45.698973
-1.0,87,46.363286
-1.0,45,46.694702
-1.0,58,47.139002
-1.0,29,47.420897
-1.0,243,49.393598
-1.0,88,50.119543
-1.0,36,50.42438
-1.0,91,51.122502
-1.0,73,51.677888
-1.0,22,51.87552
0.0,17,52.023351
-1.0,24,52.220348
-1.0,118,53.13052
0.0,29,53.359516
-1.0,82,54.008356
-1.0,97,54.80872
-1.0,125,55.722438
-1.0,52,56.097606
-1.0,70,56.611107
-1.0,45,56.928296
0.0,37,57.251697
-1.0,48,57.708341
-1.0,54,58.471206
0.0,26,58.715954
-1.0,152,60.09235
-1.0,48,60.505465
-1.0,48,60.950939
-1.0,117,77.058388
-1.0,45,77.412923
-1.0,132,78.583601
0.0,120,79.511681
-1.0,63,79.99906
-1.0,101,80.886299
-1.0,27,81.118344
-1.0,187,82.683125
-1.0,18,82.86739
-1.0,89,83.541375
-1.0,71,84.073503
0.0,6,84.12033
-1.0,371,87.370077
-1.0,210,88.986125
-1.0,359,91.921796
-1.0,52,92.400906
-1.0,86,93.211698
-1.0,24,93.427637
-1.0,51,109.696382
-1.0,44,110.122252
-1.0,67,110.704376
-1.0,91,111.435255
-1.0,164,112.776908
-1.0,192,114.326231
-1.0,31,114.563707
-1.0,21,114.73806
-1.0,126,115.814879
-1.0,265,117.909739
-1.0,166,119.377209
