#{"t_start": 1777074974.9201233, "env_id": "None"}
r,l,t
-15.0,6,4.739673
-17.0,20,4.784521
-14.0,9,4.800376
-9.0,8,4.840159
-15.0,16,4.879967
-6.0,41,4.97766
-19.0,12,5.008214
-14.0,5,5.059592
-14.0,11,5.165586
-13.0,36,5.500965
-11.0,8,5.55572
-5.0,8,5.614599
-1.0,35,5.869417
-12.0,19,5.987881
-14.0,17,6.100093
-8.0,7,6.151641
-16.0,9,6.211478
-10.0,21,6.342754
-14.0,23,6.533717
-16.0,9,6.6076
6.0,22,6.780617
-15.0,6,6.822739
-8.0,5,6.874818
-13.0,30,7.094455
-10.0,19,7.226525
-15.0,16,7.345907
-16.0,19,7.505637
-8.0,25,7.761487
1.0,7,7.815732
-13.0,20,7.97385
-15.0,8,8.043638
-15.0,10,8.1408
-19.0,30,8.381519
-9.0,22,8.54369
-15.0,26,8.744653
-16.0,21,8.901136
-11.0,18,9.049501
-18.0,11,9.132661
-7.0,10,9.208327
-13.0,6,9.254523
-17.0,14,9.360144
-11.0,8,9.421381
-15.0,26,9.620356
-15.0,28,9.834781
-11.0,20,9.989429
-18.0,29,10.204229
-15.0,22,10.373776
-14.0,11,10.455142
-8.0,17,10.58221
-11.0,34,10.841457
-8.0,19,10.985938
-12.0,11,11.072441
-15.0,10,11.153919
-11.0,30,11.383951
-9.0,8,11.444279
-14.0,5,11.481406
-16.0,11,11.562781
-13.0,38,11.842699
-15.0,12,11.933512
-16.0,31,12.161876
-14.0,5,12.200149
2.0,6,12.247515
-14.0,17,12.371253
-19.0,16,12.497725
-7.0,6,12.54281
0.0,12,12.643582
-14.0,9,12.714571
-15.0,28,12.920348
-3.0,18,13.057686
-13.0,6,13.101593
-19.0,74,13.631402
-6.0,47,14.020032
-15.0,30,14.247962
-1.0,27,14.462002
5.0,9,14.535264
2.0,4,14.568046
-16.0,7,14.626745
-16.0,11,14.721693
-14.0,11,14.81166
-16.0,9,14.886565
0.0,28,15.120669
-15.0,12,15.217875
-11.0,18,15.380459
-12.0,57,15.86788
-11.0,18,16.026691
-9.0,10,16.113075
0.0,34,16.412736
-17.0,44,16.80306
-18.0,25,17.010986
-12.0,15,17.126532
4.0,12,17.214403
-6.0,19,17.35181
-15.0,6,17.395412
-12.0,59,17.829592
-5.0,48,18.182901
-12.0,15,18.299776
3.0,31,18.529958
-13.0,6,18.574486
-15.0,36,18.844451
-13.0,42,19.156355
0.0,24,19.339201
-9.0,16,19.461614
-13.0,8,19.515841
-13.0,30,19.734576
-15.0,20,19.892554
-8.0,17,20.019671
-8.0,13,35.705232
-16.0,15,35.823368
-12.0,33,36.091854
-7.0,22,36.294783
-16.0,69,36.88637
4.0,18,37.019675
5.0,25,37.219627
0.0,10,37.293125
-8.0,15,37.4219
-14.0,27,37.655144
-6.0,11,37.742775
-4.0,23,37.924351
-8.0,33,38.190166
-16.0,9,38.256172
-14.0,13,38.363644
-3.0,17,38.502779
16.0,39,38.822587
1.0,9,38.889652
-14.0,13,39.010652
-15.0,8,39.076442
-14.0,13,39.186017
-9.0,22,39.379236
-7.0,14,39.491958
-12.0,35,39.80458
-9.0,8,39.871717
8.0,12,39.979141
-13.0,12,40.08504
-19.0,30,40.335095
-1.0,19,40.506682
-9.0,34,40.814256
-12.0,19,40.979465
-15.0,12,41.084095
-18.0,15,41.227454
-10.0,9,41.309978
4.0,30,41.592247
-7.0,20,41.779856
-6.0,33,42.087276
-16.0,9,42.169889
-14.0,7,42.234993
-18.0,25,42.444227
-16.0,33,42.717018
5.0,21,42.87807
-16.0,53,43.304006
-7.0,52,43.737871
-1.0,3,43.7664
-9.0,12,43.903466
-19.0,14,44.029495
-6.0,9,44.111358
-8.0,15,44.242027
-5.0,20,44.410562
2.0,10,44.49383
-11.0,16,44.639359
-15.0,8,44.719959
-13.0,20,44.888835
-15.0,6,44.941966
-10.0,21,45.127642
1.0,9,45.206731
-16.0,15,45.355953
3.0,25,45.557793
-16.0,27,45.776975
2.0,20,45.939461
-10.0,25,46.124571
-8.0,25,46.317786
-16.0,23,46.483351
-13.0,12,46.569299
-13.0,6,46.61236
-11.0,14,46.720747
-12.0,29,46.937203
-2.0,54,47.322563
-18.0,19,47.465869
-4.0,25,47.651875
-16.0,31,47.87728
-10.0,13,47.980165
-11.0,18,48.125542
-18.0,27,48.326563
-15.0,6,48.367867
-19.0,68,48.850633
-12.0,13,48.939443
-15.0,92,49.597827
-11.0,16,49.71069
-1.0,11,49.795294
-10.0,71,50.365657
-7.0,16,50.479475
-13.0,16,50.591583
-17.0,18,50.722639
-15.0,34,51.039582
-10.0,29,51.345644
2.0,12,51.467394
4.0,32,51.78955
-16.0,7,51.857912
1.0,15,51.995027
-15.0,34,52.332133
-15.0,22,52.509329
-13.0,8,52.570181
-18.0,17,68.081136
-18.0,41,68.43901
3.0,25,68.672047
17.0,22,68.885714
7.0,27,69.149775
-13.0,10,69.240905
2.0,14,69.378329
-15.0,14,69.509952
-18.0,9,69.596956
-12.0,41,69.917781
-13.0,20,70.106365
-13.0,48,70.56849
-11.0,38,70.895865
-2.0,58,71.37746
-5.0,12,71.485661
12.0,34,71.778529
-17.0,40,72.115357
-19.0,136,73.211778
-13.0,12,73.328831
-9.0,42,73.778892
-16.0,9,73.872726
-18.0,11,73.973127
-12.0,17,74.136057
-14.0,7,74.198386
-8.0,21,74.361572
-11.0,22,74.526444
-14.0,19,74.667568
-15.0,12,74.756251
-10.0,7,74.8084
-15.0,24,74.988363
3.0,27,75.188265
-13.0,12,75.289912
18.0,21,75.457361
1.0,21,75.621026
-18.0,15,75.736581
-14.0,15,75.85958
-7.0,36,76.149364
-16.0,23,76.345036
-18.0,27,76.581541
-20.0,41,76.942408
-17.0,14,77.047646
-15.0,54,77.447925
-7.0,44,77.749252
-19.0,88,78.432897
-12.0,13,78.529548
-5.0,64,79.00212
-14.0,15,79.110549
-15.0,28,79.356161
-9.0,32,79.605366
2.0,8,79.669072
-14.0,9,79.733249
-2.0,31,79.97733
-5.0,25,80.172797
-12.0,9,80.25008
-18.0,17,80.389776
7.0,45,80.758096
0.0,6,80.825063
-15.0,18,80.970321
-11.0,46,81.365332
-12.0,13,81.470813
-17.0,22,81.64993
-13.0,28,81.868977
4.0,10,81.950347
6.0,8,82.012331
11.0,12,82.108625
-5.0,48,82.503544
-12.0,17,82.642839
-13.0,22,82.822516
-10.0,29,83.076675
-11.0,10,83.169688
-16.0,41,83.473373
-7.0,30,83.705235
-16.0,29,83.957459
-6.0,11,84.052206
2.0,22,84.225919
-14.0,21,84.404309
5.0,25,84.581987
-14.0,17,84.712084
-5.0,11,84.800562
5.0,79,100.728243
-14.0,35,101.04012
-13.0,32,101.32993
-14.0,13,101.441864
-3.0,81,102.133769
-7.0,24,102.338307
11.0,20,102.503353
-8.0,37,102.825771
-14.0,43,103.176668
14.0,31,103.426235
-6.0,73,104.005347
2.0,10,104.088076
-18.0,49,104.548658
-15.0,26,104.786382
-12.0,17,104.930712
-2.0,48,105.378179
-8.0,31,105.630248
-6.0,11,105.709907
-15.0,40,106.037348
-11.0,44,106.387704
-13.0,38,106.681286
-18.0,15,106.806377
-11.0,10,106.885044
-1.0,23,107.076211
-16.0,23,107.262881
-12.0,9,107.33636
-6.0,31,107.572098
4.0,8,107.633768
-7.0,20,107.791476
3.0,103,108.599985
-17.0,18,108.73305
6.0,32,108.995213
-14.0,71,109.525117
-16.0,9,109.596057
-1.0,13,109.692989
0.0,36,109.974001
-18.0,91,110.658223
-9.0,26,110.849367
8.0,46,111.190488
-7.0,24,111.36258
4.0,14,111.46541
-14.0,41,111.75363
-16.0,69,112.264988
-8.0,33,112.521405
-7.0,78,113.14416
11.0,32,113.382864
-15.0,22,113.562216
-5.0,60,114.026233
-18.0,41,114.386158
-10.0,25,114.590658
-15.0,44,114.946473
-18.0,15,115.073702
-5.0,57,115.550811
-15.0,22,115.735171
-8.0,11,115.831077
-14.0,7,115.898046
3.0,17,116.048228
-5.0,29,116.29835
-18.0,55,116.778065
-7.0,6,132.313462
-15.0,58,132.771796
1.0,115,133.677644
15.0,18,133.809462
12.0,109,134.635103
15.0,54,135.043052
5.0,55,135.461428
3.0,23,135.645093
7.0,27,135.859745
-14.0,9,135.933887
3.0,21,136.095607
-17.0,20,136.241183
6.0,32,136.496937
0.0,28,136.722922
-4.0,17,136.855137
-17.0,16,136.973391
-16.0,19,137.118918
-7.0,20,137.273253
-15.0,34,137.539457
-7.0,70,138.050538
-15.0,16,138.172666
-14.0,13,138.265113
14.0,43,138.598111
-16.0,9,138.662123
-8.0,37,138.948063
-7.0,42,139.278021
2.0,8,139.341069
2.0,4,139.376239
-1.0,11,139.460464
1.0,29,139.671029
-7.0,18,139.807235
-10.0,11,139.888015
12.0,62,140.378537
3.0,91,141.082477
1.0,105,141.936166
27.0,43,142.280821
-16.0,83,142.939432
-13.0,14,143.046187
-7.0,44,143.394768
-13.0,46,143.756237
14.0,9,143.829417
4.0,42,144.15339
-13.0,30,144.395119
10.0,61,144.903814
0.0,26,145.118257
-13.0,18,145.267499
5.0,23,145.457188
-15.0,78,146.097205
-7.0,34,146.377035
-3.0,31,146.636138
2.0,24,146.841842
4.0,44,147.235277
5.0,39,147.554674
-9.0,26,147.751339
5.0,39,148.043867
-13.0,102,164.326982
4.0,24,164.54083
4.0,8,164.613039
-10.0,9,164.710186
20.0,119,165.722406
6.0,40,166.05213
12.0,24,166.252601
-9.0,84,166.918265
2.0,98,167.711097
4.0,36,168.016844
-3.0,25,168.208313
3.0,11,168.293041
3.0,211,169.923049
22.0,55,170.340599
-16.0,11,170.42537
3.0,57,170.855053
24.0,109,171.697356
20.0,57,172.134798
-5.0,8,172.193646
3.0,77,172.795397
21.0,46,173.145205
0.0,18,173.289154
3.0,13,173.393335
10.0,42,173.794556
49.0,70,174.337571
4.0,28,174.570714
-6.0,27,174.991164
16.0,39,175.311265
-9.0,128,176.311127
1.0,37,176.600801
1.0,29,176.822947
4.0,68,177.351026
4.0,10,177.43029
2.0,30,177.663197
5.0,61,178.116712
1.0,29,178.335854
-9.0,12,178.420111
-5.0,10,178.501894
6.0,70,179.021948
-8.0,25,179.229654
-11.0,44,179.575759
4.0,20,179.757371
2.0,20,179.909217
3.0,67,195.684953
-1.0,73,196.336581
-8.0,15,196.46277
5.0,37,196.769377
2.0,26,196.983868
3.0,21,197.156999
-6.0,21,197.341663
2.0,42,197.704821
6.0,50,198.122978
53.0,65,198.651335
69.0,144,199.842043
-2.0,44,200.20519
3.0,69,200.705841
6.0,26,200.90035
2.0,40,201.202757
7.0,49,201.584595
5.0,29,201.821628
7.0,25,202.025708
32.0,42,202.387303
1.0,15,202.496775
26.0,63,202.929847
1.0,87,203.589449
8.0,54,203.998366
1.0,25,204.181406
33.0,29,204.383378
18.0,43,204.736182
8.0,124,205.695746
5.0,27,205.908606
-8.0,29,206.132956
18.0,21,206.288891
5.0,11,206.37076
5.0,103,207.179987
4.0,28,207.402481
30.0,114,208.445861
9.0,27,208.681894
-10.0,29,208.913021
15.0,47,209.39844
4.0,56,209.912852
10.0,15,210.051517
5.0,21,210.242657
33.0,81,210.885808
-13.0,18,211.045818
20.0,37,211.31846
18.0,47,211.668445
3.0,57,212.063417
5.0,61,227.916889
11.0,37,228.265981
32.0,84,229.126667
4.0,26,229.351002
4.0,28,229.673455
68.0,144,230.881385
47.0,128,231.896854
41.0,77,232.516686
0.0,18,232.663808
-5.0,30,232.914761
45.0,89,233.613689
68.0,96,234.376758
42.0,76,234.957706
2.0,6,235.005734
4.0,88,235.718636
5.0,31,235.964499
13.0,100,236.74577
3.0,21,236.905761
49.0,108,237.725036
7.0,61,238.168444
26.0,63,238.654217
6.0,12,238.774286
3.0,49,239.189582
3.0,15,239.30492
19.0,56,239.74682
12.0,50,240.117069
16.0,28,240.323064
13.0,79,240.986051
-8.0,27,241.19762
1.0,21,241.35828
9.0,45,241.721132
7.0,51,242.131989
7.0,11,242.220078
22.0,41,242.551076
23.0,58,243.015131
6.0,18,243.155996
16.0,27,243.3687
41.0,78,243.971153
3.0,15,244.090251
41.0,63,259.950299
9.0,23,260.13147
14.0,40,260.479534
0.0,24,260.662301
51.0,94,261.444144
3.0,7,261.497194
19.0,40,261.828634
20.0,15,261.935248
-7.0,10,262.02739
45.0,34,262.335066
10.0,63,262.844531
12.0,36,263.12186
9.0,25,263.315502
50.0,61,263.802285
5.0,35,264.097534
11.0,53,264.497118
66.0,43,264.813525
15.0,16,264.948447
6.0,40,265.232189
72.0,136,266.352037
44.0,57,266.77335
50.0,55,267.216507
19.0,28,267.430988
64.0,78,268.033206
61.0,201,269.676126
49.0,44,270.018856
10.0,70,270.544243
40.0,42,270.868455
-11.0,10,270.940889
62.0,72,271.473951
109.0,148,272.624637
16.0,17,272.746723
4.0,32,272.996881
5.0,55,273.430455
7.0,17,273.562566
2.0,18,273.703622
5.0,35,273.978411
18.0,39,274.302455
40.0,74,274.893424
30.0,98,275.714036
7.0,23,291.588354
1.0,9,291.67748
7.0,25,291.89409
135.0,178,293.318121
40.0,60,293.802879
10.0,24,293.98344
44.0,64,294.486994
9.0,53,294.873634
88.0,95,295.584058
1.0,11,295.664975
4.0,16,295.798099
30.0,49,296.201687
96.0,111,297.073584
8.0,14,297.187066
6.0,58,297.664799
54.0,79,298.302113
81.0,148,299.444055
-8.0,7,299.493473
40.0,39,299.793884
31.0,74,300.378023
96.0,166,301.716039
86.0,165,302.934574
7.0,25,303.11273
35.0,53,303.482646
23.0,22,303.639555
56.0,73,304.180106
5.0,11,304.258226
-2.0,40,304.548119
5.0,11,304.62307
73.0,94,305.284584
16.0,31,305.538264
94.0,92,306.22671
11.0,45,306.588279
199.0,166,323.217896
38.0,56,323.679534
83.0,91,324.451423
80.0,119,325.317961
31.0,66,325.873225
28.0,51,326.297121
30.0,44,326.664514
78.0,110,327.582315
4.0,14,327.700229
96.0,118,328.623985
86.0,89,329.319926
73.0,103,330.184684
52.0,111,331.033324
41.0,43,331.368111
26.0,61,331.809152
63.0,97,332.572436
171.0,148,333.738166
98.0,105,334.525382
165.0,175,335.88711
82.0,103,336.716098
74.0,75,337.333349
25.0,38,337.650579
151.0,225,354.707322
106.0,139,355.863993
128.0,159,357.142247
249.0,208,358.721456
97.0,93,359.48502
44.0,48,359.904923
19.0,22,360.080905
50.0,83,360.719602
33.0,36,360.993589
40.0,72,361.568837
3.0,7,361.628888
14.0,28,361.870844
33.0,77,362.478913
24.0,45,362.814028
166.0,232,364.620193
118.0,114,365.500835
212.0,260,367.563397
-2.0,25,367.776276
51.0,62,368.274244
93.0,127,369.228033
30.0,30,369.4459
187.0,190,386.299683
197.0,213,387.992821
88.0,139,389.062688
59.0,84,389.707615
208.0,203,391.302258
7.0,15,391.424108
100.0,142,392.54271
127.0,145,393.686071
157.0,199,395.219225
112.0,93,395.963968
39.0,39,396.295069
127.0,141,397.376013
50.0,73,397.950266
119.0,155,399.157941
132.0,131,400.183501
211.0,176,401.671005
49.0,82,417.55961
7.0,15,417.684686
37.0,71,418.282793
74.0,76,418.916231
153.0,174,420.267411
142.0,143,421.436797
50.0,61,421.933329
104.0,150,423.105277
176.0,171,424.459621
6.0,10,424.540608
83.0,84,425.182871
136.0,190,426.690736
180.0,149,427.877964
17.0,30,428.109913
86.0,95,428.837461
128.0,132,429.873621
131.0,148,431.054349
28.0,16,431.177461
93.0,108,432.045622
81.0,100,432.814999
59.0,93,448.939617
109.0,100,449.714716
103.0,134,450.699895
100.0,188,452.135057
6.0,22,452.299627
70.0,61,452.739985
75.0,70,453.233479
176.0,176,454.528184
146.0,164,455.756747
85.0,74,456.344303
119.0,103,457.143852
112.0,130,458.114145
-11.0,14,458.220612
86.0,91,458.935796
13.0,25,459.115767
54.0,58,459.523619
50.0,59,459.952989
156.0,204,461.446416
347.0,298,463.716378
270.0,234,480.94753
140.0,161,482.261902
255.0,350,484.980175
6.0,16,485.115044
37.0,33,485.379466
19.0,36,485.648412
29.0,47,485.97264
73.0,93,486.659837
184.0,137,487.843113
87.0,100,488.729666
9.0,17,488.859605
117.0,96,489.627123
194.0,183,491.01564
8.0,34,491.257997
38.0,54,491.677543
204.0,206,493.162644
202.0,163,494.401893
12.0,28,494.606635
109.0,134,510.886873
8.0,32,511.170953
169.0,169,512.568848
74.0,67,513.094293
208.0,220,514.862633
144.0,156,516.100187
102.0,69,516.666409
131.0,122,517.633774
68.0,60,518.119402
37.0,43,518.465968
49.0,59,518.952075
156.0,135,520.065706
107.0,72,520.657449
100.0,74,521.240194
212.0,217,522.853559
89.0,102,523.606972
197.0,249,525.518995
57.0,35,525.768052
271.0,230,543.163372
152.0,165,544.405076
22.0,37,544.692406
132.0,103,545.512434
255.0,194,547.097167
33.0,44,547.427326
131.0,104,548.216498
115.0,89,548.88848
237.0,203,550.441769
237.0,253,552.368547
52.0,65,552.841083
103.0,117,553.67663
130.0,94,554.372096
17.0,22,554.53627
52.0,39,554.826847
93.0,60,555.271062
175.0,144,556.375804
153.0,130,557.410104
5.0,17,557.542814
53.0,62,557.995206
260.0,256,575.22483
